locale,key,fr_value,current_value,draft_value
af,balance_decreased_heading,"Diminution de Solde","Diminution de Solde [MT]","Diminution de Solde [MT]"
af,balance_decreased_message,"Nous souhaitons vous informer que votre solde a été diminué.","Nous souhaitons vous informer que votre solde a été diminué. [MT]","Nous souhaitons vous informer que votre solde a été diminué. [MT]"
af,operation_details,"Détails de l'opération","Détails de l'opération [MT]","Détails de l'opération [MT]"
af,label_amount_deducted,"Montant déduit","Montant déduit [MT]","Montant déduit [MT]"
af,label_new_balance,"Nouveau solde","Nouveau solde [MT]","Nouveau solde [MT]"
af,contact_us_if_questions,"Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter.","Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter. [MT]","Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter. [MT]"
af,balance_increased_title,"Augmentation de solde - TRANSFERFLUX","Augmentation de solde - TRANSFERFLUX [MT]","Augmentation de solde - TRANSFERFLUX [MT]"
af,balance_increased_heading,"Augmentation de Solde","Augmentation de Solde [MT]","Augmentation de Solde [MT]"
af,balance_increased_message,"Nous souhaitons vous informer que votre solde a été augmenté avec succès.","Nous souhaitons vous informer que votre solde a été augmenté avec succès. [MT]","Nous souhaitons vous informer que votre solde a été augmenté avec succès. [MT]"
af,label_amount_added,"Montant ajouté","Montant ajouté [MT]","Montant ajouté [MT]"
af,thank_you_trust,"Merci de votre confiance !","Merci de votre confiance ! [MT]","Merci de votre confiance ! [MT]"
af,refund_title,"Remboursement - TRANSFERFLUX","Remboursement - TRANSFERFLUX [MT]","Remboursement - TRANSFERFLUX [MT]"
af,refund_heading,"Échec de Virement","Échec de Virement [MT]","Échec de Virement [MT]"
af,refund_subject,"Échec de virement - TRANSFERFLUX","Échec de virement - TRANSFERFLUX [MT]","Échec de virement - TRANSFERFLUX [MT]"
af,refund_failed_message,"Nous regrettons de vous informer que votre tentative de virement a échoué.","Nous regrettons de vous informer que votre tentative de virement a échoué. [MT]","Nous regrettons de vous informer que votre tentative de virement a échoué. [MT]"
af,transfer_details,"Détails du virement","Détails du virement [MT]","Détails du virement [MT]"
af,label_transfer_date,"Date du Virement","Date du Virement [MT]","Date du Virement [MT]"
af,label_reason,"Motif du Virement","Motif du Virement [MT]","Motif du Virement [MT]"
af,refund_notice,"Le montant de :amount a été remboursé sur votre compte.","Le montant de :amount a été remboursé sur votre compte. [MT]","Le montant de :amount a été remboursé sur votre compte. [MT]"
af,apology,"Nous nous excusons pour la gêne occasionnée. Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter.","Nous nous excusons pour la gêne occasionnée. Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter. [MT]","Nous nous excusons pour la gêne occasionnée. Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter. [MT]"
af,mail_error_alert_title,"Alerte Échec Email","Alerte Échec Email [MT]","Alerte Échec Email [MT]"
af,system_alert,"⚠️ ALERTE SYSTÈME","⚠️ ALERTE SYSTÈME [MT]","⚠️ ALERTE SYSTÈME [MT]"
af,mail_send_failure_detected,"Échec d'envoi d'email détecté","Échec d'envoi d'email détecté [MT]","Échec d'envoi d'email détecté [MT]"
af,email_sending_problem,"Problème d'envoi d'email","Problème d'envoi d'email [MT]","Problème d'envoi d'email [MT]"
af,email_send_failure_explanation,"Un email n'a pas pu être envoyé. Cela peut indiquer que la limite quotidienne a été atteinte ou qu'il y a un problème avec le serveur SMTP.","Un email n'a pas pu être envoyé. Cela peut indiquer que la limite quotidienne a été atteinte ou qu'il y a un problème avec le serveur SMTP. [MT]","Un email n'a pas pu être envoyé. Cela peut indiquer que la limite quotidienne a été atteinte ou qu'il y a un problème avec le serveur SMTP. [MT]"
af,error_details,"Détails de l'erreur","Détails de l'erreur [MT]","Détails de l'erreur [MT]"
af,label_failed_recipient,"Destinataire concerné","Destinataire concerné [MT]","Destinataire concerné [MT]"
af,label_context,Contexte,"Contexte [MT]","Contexte [MT]"
af,label_error_message,"Message d'erreur","Message d'erreur [MT]","Message d'erreur [MT]"
af,possible_causes,"Causes possibles","Causes possibles [MT]","Causes possibles [MT]"
af,cause_daily_limit,"Limite quotidienne atteinte","Limite quotidienne atteinte [MT]","Limite quotidienne atteinte [MT]"
af,cause_daily_limit_details,"La plateforme d'envoi peut limiter le nombre d'emails par jour.","La plateforme d'envoi peut limiter le nombre d'emails par jour. [MT]","La plateforme d'envoi peut limiter le nombre d'emails par jour. [MT]"
af,cause_smtp_connection,"Problème de connexion SMTP","Problème de connexion SMTP [MT]","Problème de connexion SMTP [MT]"
af,cause_smtp_connection_details,"Le serveur SMTP peut être temporairement indisponible.","Le serveur SMTP peut être temporairement indisponible. [MT]","Le serveur SMTP peut être temporairement indisponible. [MT]"
af,cause_auth_failed,"Authentification échouée","Authentification échouée [MT]","Authentification échouée [MT]"
af,cause_auth_failed_details,"Vérifiez les identifiants dans le fichier .env","Vérifiez les identifiants dans le fichier .env [MT]","Vérifiez les identifiants dans le fichier .env [MT]"
af,cause_app_password_revoked,"Mot de passe d'application expiré","Mot de passe d'application expiré [MT]","Mot de passe d'application expiré [MT]"
af,cause_app_password_revoked_details,"Le mot de passe d'application peut avoir été révoqué ou expiré.","Le mot de passe d'application peut avoir été révoqué ou expiré. [MT]","Le mot de passe d'application peut avoir été révoqué ou expiré. [MT]"
af,recommended_actions,"Actions recommandées","Actions recommandées [MT]","Actions recommandées [MT]"
af,action_if_limit,"Si limite atteinte","Si limite atteinte [MT]","Si limite atteinte [MT]"
af,action_if_limit_details,"Attendez jusqu'à demain (réinitialisation à minuit PST).","Attendez jusqu'à demain (réinitialisation à minuit PST). [MT]","Attendez jusqu'à demain (réinitialisation à minuit PST). [MT]"
af,action_check_logs,"Vérifier les logs","Vérifier les logs [MT]","Vérifier les logs [MT]"
af,action_check_logs_details,"Consultez storage/logs/laravel.log","Consultez storage/logs/laravel.log [MT]","Consultez storage/logs/laravel.log [MT]"
af,action_test_connection,"Tester la connexion","Tester la connexion [MT]","Tester la connexion [MT]"
af,action_check_config,"Vérifier la configuration","Vérifier la configuration [MT]","Vérifier la configuration [MT]"
af,action_check_config_details,"Contrôlez les paramètres SMTP dans le fichier .env","Contrôlez les paramètres SMTP dans le fichier .env [MT]","Contrôlez les paramètres SMTP dans le fichier .env [MT]"
af,action_regenerate_password,"Régénérer le mot de passe","Régénérer le mot de passe [MT]","Régénérer le mot de passe [MT]"
af,action_regenerate_password_details,"Si nécessaire, créez un nouveau mot de passe d'application.","Si nécessaire, créez un nouveau mot de passe d'application. [MT]","Si nécessaire, créez un nouveau mot de passe d'application. [MT]"
af,system_information,"Informations système","Informations système [MT]","Informations système [MT]"
af,label_smtp_server,"Serveur SMTP","Serveur SMTP [MT]","Serveur SMTP [MT]"
af,label_port,Port,"Port [MT]","Port [MT]"
af,label_account,Compte,"Compte [MT]","Compte [MT]"
af,label_environment,Environnement,"Environnement [MT]","Environnement [MT]"
af,alert_auto_generated_notice,"Cette alerte est automatique. L'application continue de fonctionner normalement, mais les emails ne sont pas envoyés.","Cette alerte est automatique. L'application continue de fonctionner normalement, mais les emails ne sont pas envoyés. [MT]","Cette alerte est automatique. L'application continue de fonctionner normalement, mais les emails ne sont pas envoyés. [MT]"
af,account_management_system,"Système de gestion des comptes","Système de gestion des comptes [MT]","Système de gestion des comptes [MT]"
af,alert_generated_by_safemail,"Cette alerte a été générée automatiquement par le système SafeMailService","Cette alerte a été générée automatiquement par le système SafeMailService [MT]","Cette alerte a été générée automatiquement par le système SafeMailService [MT]"
af,contact_technical_team,"Pour toute question, contactez votre équipe technique","Pour toute question, contactez votre équipe technique [MT]","Pour toute question, contactez votre équipe technique [MT]"
af,password_reset_title,"Réinitialisation de mot de passe - TRANSFERFLUX","Réinitialisation de mot de passe - TRANSFERFLUX [MT]","Réinitialisation de mot de passe - TRANSFERFLUX [MT]"
af,password_reset_heading,"Réinitialisation de mot de passe","Réinitialisation de mot de passe [MT]","Réinitialisation de mot de passe [MT]"
af,greeting_simple_name,"Bonjour :name,","Bonjour :name, [MT]","Bonjour :name, [MT]"
af,password_reset_reason,"Vous recevez cet e-mail car nous avons reçu une demande de réinitialisation de votre mot de passe.","Vous recevez cet e-mail car nous avons reçu une demande de réinitialisation de votre mot de passe. [MT]","Vous recevez cet e-mail car nous avons reçu une demande de réinitialisation de votre mot de passe. [MT]"
af,password_reset_click_link,"Veuillez cliquer sur le lien ci-dessous pour réinitialiser votre mot de passe :","Veuillez cliquer sur le lien ci-dessous pour réinitialiser votre mot de passe : [MT]","Veuillez cliquer sur le lien ci-dessous pour réinitialiser votre mot de passe : [MT]"
af,password_reset_no_action_needed,"Si vous n'avez pas demandé de réinitialisation de mot de passe, aucune autre action n'est requise.","Si vous n'avez pas demandé de réinitialisation de mot de passe, aucune autre action n'est requise. [MT]","Si vous n'avez pas demandé de réinitialisation de mot de passe, aucune autre action n'est requise. [MT]"
af,thank_you_using_brand,"Merci d'utiliser TRANSFERFLUX !","Merci d'utiliser TRANSFERFLUX ! [MT]","Merci d'utiliser TRANSFERFLUX ! [MT]"
af,password_reset_button,"Réinitialiser le mot de passe","Réinitialiser le mot de passe [MT]","Réinitialiser le mot de passe [MT]"
af,account_blocked_message,"Votre compte TRANSFERFLUX a été temporairement bloqué.","Votre compte TRANSFERFLUX a été temporairement bloqué. [MT]","Votre compte TRANSFERFLUX a été temporairement bloqué. [MT]"
af,account_blocked_title,"Compte Bloqué","Compte Bloqué [MT]","Compte Bloqué [MT]"
af,account_blocked_intro,"Votre compte TRANSFERFLUX a été temporairement bloqué.","Votre compte TRANSFERFLUX a été temporairement bloqué. [MT]","Votre compte TRANSFERFLUX a été temporairement bloqué. [MT]"
af,account_blocked_mail_send_failure,"Échec d'envoi d'email détecté","Échec d'envoi d'email détecté [MT]","Échec d'envoi d'email détecté [MT]"
af,account_blocked_actions_title,"Que faire maintenant ?","Que faire maintenant ? [MT]","Que faire maintenant ? [MT]"
af,account_blocked_action_contact,"Contactez notre service client pour plus d'informations","Contactez notre service client pour plus d'informations [MT]","Contactez notre service client pour plus d'informations [MT]"
af,account_blocked_action_check,"Vérifiez votre conformité avec nos conditions d'utilisation","Vérifiez votre conformité avec nos conditions d'utilisation [MT]","Vérifiez votre conformité avec nos conditions d'utilisation [MT]"
af,account_blocked_action_prepare_docs,"Préparez vos documents d'identité si nécessaire","Préparez vos documents d'identité si nécessaire [MT]","Préparez vos documents d'identité si nécessaire [MT]"
af,status_blocked,BLOQUÉ,"BLOQUÉ [MT]","BLOQUÉ [MT]"
am,compte_created_subject,"Ouverture de compte - TRANSFERFLUX","Ouverture de compte - TRANSFERFLUX [MT]","Ouverture de compte - TRANSFERFLUX [MT]"
am,compte_created_title,"Ouverture de compte sur TRANSFERFLUX","Ouverture de compte sur TRANSFERFLUX [MT]","Ouverture de compte sur TRANSFERFLUX [MT]"
am,greeting,"Bonjour :name,","Bonjour :name, [MT]","Bonjour :name, [MT]"
am,compte_created_message,"Nous avons le plaisir de vous informer que votre compte a été créé avec succès et crédité d'un montant de :amount.","Nous avons le plaisir de vous informer que votre compte a été créé avec succès et crédité d'un montant de :amount. [MT]","Nous avons le plaisir de vous informer que votre compte a été créé avec succès et crédité d'un montant de :amount. [MT]"
am,credentials_title,"Vos identifiants sont:","Vos identifiants sont: [MT]","Vos identifiants sont: [MT]"
am,label_email,Email,"Email [MT]","Email [MT]"
am,label_password,"Mot de passe","Mot de passe [MT]","Mot de passe [MT]"
am,label_initial_balance,"💰 Solde initial:","💰 Solde initial: [MT]","💰 Solde initial: [MT]"
am,cta_login,"Connectez-vous à votre espace client","Connectez-vous à votre espace client [MT]","Connectez-vous à votre espace client [MT]"
am,info_access,"Vous pouvez maintenant accéder à votre compte et profiter de nos services.","Vous pouvez maintenant accéder à votre compte et profiter de nos services. [MT]","Vous pouvez maintenant accéder à votre compte et profiter de nos services. [MT]"
am,support_contact,"contactez notre support","contactez notre support [MT]","contactez notre support [MT]"
am,footer_thanks,"Merci d\'utiliser TRANSFERFLUX !","Merci d\'utiliser TRANSFERFLUX ! [MT]","Merci d\'utiliser TRANSFERFLUX ! [MT]"
am,footer_brand,TRANSFERFLUX,"TRANSFERFLUX [MT]","TRANSFERFLUX [MT]"
am,footer_partner,"Votre partenaire financier de confiance 🏦","Votre partenaire financier de confiance 🏦 [MT]","Votre partenaire financier de confiance 🏦 [MT]"
am,virement_success_subject,"Virement effectué avec succès - TRANSFERFLUX","Virement effectué avec succès - TRANSFERFLUX [MT]","Virement effectué avec succès - TRANSFERFLUX [MT]"
am,virement_success_title,"Virement Effectué avec Succès","Virement Effectué avec Succès [MT]","Virement Effectué avec Succès [MT]"
am,virement_success_message,"Nous vous informons que votre virement a été effectué avec succès.","Nous vous informons que votre virement a été effectué avec succès. [MT]","Nous vous informons que votre virement a été effectué avec succès. [MT]"
am,virement_failed_subject,"Échec de virement - TRANSFERFLUX","Échec de virement - TRANSFERFLUX [MT]","Échec de virement - TRANSFERFLUX [MT]"
am,virement_failed_title,"Échec de Virement","Échec de Virement [MT]","Échec de Virement [MT]"
am,virement_failed_message,"Nous vous informons que votre virement a échoué.","Nous vous informons que votre virement a échoué. [MT]","Nous vous informons que votre virement a échoué. [MT]"
am,details_title,"Détails du virement","Détails du virement [MT]","Détails du virement [MT]"
am,label_amount,"💰 Montant :","💰 Montant : [MT]","💰 Montant : [MT]"
am,label_date,"📅 Date :","📅 Date : [MT]","📅 Date : [MT]"
am,label_beneficiary,"👤 Bénéficiaire :","👤 Bénéficiaire : [MT]","👤 Bénéficiaire : [MT]"
am,virement_notice,"Le traitement du transfert sera effectué dans les 1-3 jours ouvrables.","Le traitement du transfert sera effectué dans les 1-3 jours ouvrables. [MT]","Le traitement du transfert sera effectué dans les 1-3 jours ouvrables. [MT]"
am,thanks,"Merci,","Merci, [MT]","Merci, [MT]"
am,contact_support_for_info,"Pour plus d'informations, veuillez contacter notre service client.","Pour plus d'informations, veuillez contacter notre service client. [MT]","Pour plus d'informations, veuillez contacter notre service client. [MT]"
am,regards,"Cordialement,","Cordialement, [MT]","Cordialement, [MT]"
am,service_client,"Service Client","Service Client [MT]","Service Client [MT]"
am,auto_generated_notice,"Cet email a été envoyé automatiquement, merci de ne pas y répondre directement.","Cet email a été envoyé automatiquement, merci de ne pas y répondre directement. [MT]","Cet email a été envoyé automatiquement, merci de ne pas y répondre directement. [MT]"
am,compte_activated_title,"Compte Activé - TRANSFERFLUX","Compte Activé - TRANSFERFLUX [MT]","Compte Activé - TRANSFERFLUX [MT]"
am,compte_activated_heading,"Compte Activé avec Succès","Compte Activé avec Succès [MT]","Compte Activé avec Succès [MT]"
am,good_news,"✅ Bonne nouvelle :","✅ Bonne nouvelle : [MT]","✅ Bonne nouvelle : [MT]"
am,compte_activated_message,"Votre compte TRANSFERFLUX a été activé et est désormais pleinement opérationnel !","Votre compte TRANSFERFLUX a été activé et est désormais pleinement opérationnel ! [MT]","Votre compte TRANSFERFLUX a été activé et est désormais pleinement opérationnel ! [MT]"
am,compte_activated_explanation,"Vous pouvez effectuer toutes vos transactions en toute sécurité.","Vous pouvez effectuer toutes vos transactions en toute sécurité. [MT]","Vous pouvez effectuer toutes vos transactions en toute sécurité. [MT]"
am,label_holder,Titulaire,"Titulaire [MT]","Titulaire [MT]"
am,label_current_balance,"Solde actuel","Solde actuel [MT]","Solde actuel [MT]"
am,label_status,Statut,"Statut [MT]","Statut [MT]"
am,status_active,ACTIVÉ,"ACTIVÉ [MT]","ACTIVÉ [MT]"
am,you_can_now,"Vous pouvez maintenant :","Vous pouvez maintenant : [MT]","Vous pouvez maintenant : [MT]"
am,can_make_transfers,"Effectuer des virements et transferts","Effectuer des virements et transferts [MT]","Effectuer des virements et transferts [MT]"
am,check_balance,"Consulter votre solde en temps réel","Consulter votre solde en temps réel [MT]","Consulter votre solde en temps réel [MT]"
am,manage_transactions,"Gérer vos transactions en toute sécurité","Gérer vos transactions en toute sécurité [MT]","Gérer vos transactions en toute sécurité [MT]"
am,access_services,"Accéder à tous nos services bancaires","Accéder à tous nos services bancaires [MT]","Accéder à tous nos services bancaires [MT]"
am,thanks_welcome,"Merci de votre confiance et bienvenue dans la famille TRANSFERFLUX !","Merci de votre confiance et bienvenue dans la famille TRANSFERFLUX ! [MT]","Merci de votre confiance et bienvenue dans la famille TRANSFERFLUX ! [MT]"
am,unlock_code_used_title,"Code de Déblocage Utilisé - TRANSFERFLUX","Code de Déblocage Utilisé - TRANSFERFLUX [MT]","Code de Déblocage Utilisé - TRANSFERFLUX [MT]"
am,unlock_code_used_heading,"Code de Déblocage Utilisé","Code de Déblocage Utilisé [MT]","Code de Déblocage Utilisé [MT]"
am,greeting_simple,"Bonjour,","Bonjour, [MT]","Bonjour, [MT]"
am,info_notification,"ℹ️ Notification :","ℹ️ Notification : [MT]","ℹ️ Notification : [MT]"
am,unlock_code_used_alert,"Un code de déblocage vient d'être utilisé sur votre compte.","Un code de déblocage vient d'être utilisé sur votre compte. [MT]","Un code de déblocage vient d'être utilisé sur votre compte. [MT]"
