locale,key,locale_value,status,fr_value
am,label_date,"📅 Date :",placeholder,"📅 Date :"
am,label_beneficiary,"👤 Bénéficiaire :",placeholder,"👤 Bénéficiaire :"
am,virement_notice,"Le traitement du transfert sera effectué dans les 1-3 jours ouvrables.",placeholder,"Le traitement du transfert sera effectué dans les 1-3 jours ouvrables."
am,thanks,"Merci,",placeholder,"Merci,"
am,contact_support_for_info,"Pour plus d'informations, veuillez contacter notre service client.",placeholder,"Pour plus d'informations, veuillez contacter notre service client."
am,regards,"Cordialement,",placeholder,"Cordialement,"
am,service_client,"Service Client",placeholder,"Service Client"
am,auto_generated_notice,"Cet email a été envoyé automatiquement, merci de ne pas y répondre directement.",placeholder,"Cet email a été envoyé automatiquement, merci de ne pas y répondre directement."
am,compte_activated_title,"Compte Activé - TRANSFERFLUX",placeholder,"Compte Activé - TRANSFERFLUX"
am,compte_activated_heading,"Compte Activé avec Succès",placeholder,"Compte Activé avec Succès"
am,good_news,"✅ Bonne nouvelle :",placeholder,"✅ Bonne nouvelle :"
am,compte_activated_message,"Votre compte TRANSFERFLUX a été activé et est désormais pleinement opérationnel !",placeholder,"Votre compte TRANSFERFLUX a été activé et est désormais pleinement opérationnel !"
am,compte_activated_explanation,"Vous pouvez effectuer toutes vos transactions en toute sécurité.",placeholder,"Vous pouvez effectuer toutes vos transactions en toute sécurité."
am,label_holder,Titulaire,placeholder,Titulaire
am,label_current_balance,"Solde actuel",placeholder,"Solde actuel"
am,label_status,Statut,placeholder,Statut
am,status_active,ACTIVÉ,placeholder,ACTIVÉ
am,you_can_now,"Vous pouvez maintenant :",placeholder,"Vous pouvez maintenant :"
am,can_make_transfers,"Effectuer des virements et transferts",placeholder,"Effectuer des virements et transferts"
am,check_balance,"Consulter votre solde en temps réel",placeholder,"Consulter votre solde en temps réel"
am,manage_transactions,"Gérer vos transactions en toute sécurité",placeholder,"Gérer vos transactions en toute sécurité"
am,access_services,"Accéder à tous nos services bancaires",placeholder,"Accéder à tous nos services bancaires"
am,thanks_welcome,"Merci de votre confiance et bienvenue dans la famille TRANSFERFLUX !",placeholder,"Merci de votre confiance et bienvenue dans la famille TRANSFERFLUX !"
am,unlock_code_used_title,"Code de Déblocage Utilisé - TRANSFERFLUX",placeholder,"Code de Déblocage Utilisé - TRANSFERFLUX"
am,unlock_code_used_heading,"Code de Déblocage Utilisé",placeholder,"Code de Déblocage Utilisé"
am,greeting_simple,"Bonjour,",placeholder,"Bonjour,"
am,info_notification,"ℹ️ Notification :",placeholder,"ℹ️ Notification :"
am,unlock_code_used_alert,"Un code de déblocage vient d'être utilisé sur votre compte.",placeholder,"Un code de déblocage vient d'être utilisé sur votre compte."
am,unlock_code_used_explanation,"Nous vous informons qu'un code de déblocage a été saisi et validé pour une transaction.",placeholder,"Nous vous informons qu'un code de déblocage a été saisi et validé pour une transaction."
am,label_date_time,"Date et heure",placeholder,"Date et heure"
am,label_transfer_amount,"Montant du transfert",placeholder,"Montant du transfert"
am,label_recipient,Destinataire,placeholder,Destinataire
am,urgent_if_not_you,"⚠️ Si vous n'êtes pas à l'origine de cette action :",placeholder,"⚠️ Si vous n'êtes pas à l'origine de cette action :"
am,contact_support_immediately,"Contactez immédiatement notre service client",placeholder,"Contactez immédiatement notre service client"
am,check_recent_transactions,"Vérifiez toutes vos transactions récentes",placeholder,"Vérifiez toutes vos transactions récentes"
am,change_access_codes,"Changez vos codes d'accès par mesure de sécurité",placeholder,"Changez vos codes d'accès par mesure de sécurité"
am,if_legitimate,"✅ Si cette action est légitime :",placeholder,"✅ Si cette action est légitime :"
am,client_can_finalize,"Votre client peut maintenant finaliser sa transaction en toute sécurité.",placeholder,"Votre client peut maintenant finaliser sa transaction en toute sécurité."
am,transfer_unlock_code_title,"Code de déblocage - TRANSFERFLUX",placeholder,"Code de déblocage - TRANSFERFLUX"
am,transfer_unlock_heading,"Code de déblocage du virement",placeholder,"Code de déblocage du virement"
am,transfer_unlock_message_intro,"Votre code de déblocage pour le virement est indiqué ci-dessous :",placeholder,"Votre code de déblocage pour le virement est indiqué ci-dessous :"
am,transfer_unlock_code_label,"Le code est :",placeholder,"Le code est :"
am,your_unlock_code,"Votre Code de Déblocage",placeholder,"Votre Code de Déblocage"
am,do_not_share_unlock_code,"Ne partagez pas votre code de déblocage !!",placeholder,"Ne partagez pas votre code de déblocage !!"
am,unlock_code_personal_confidential,"Ce code est strictement personnel et confidentiel.",placeholder,"Ce code est strictement personnel et confidentiel."
am,unlock_code_needed_finalize,"Ce code est nécessaire pour finaliser votre opération de transfert.",placeholder,"Ce code est nécessaire pour finaliser votre opération de transfert."
am,contact_support_for_questions,"Pour toute question, contactez notre service client.",placeholder,"Pour toute question, contactez notre service client."
am,welcome_title,"Bienvenue - TRANSFERFLUX",placeholder,"Bienvenue - TRANSFERFLUX"
am,welcome_heading,"Bienvenue sur FLASH COMPTE",placeholder,"Bienvenue sur FLASH COMPTE"
am,welcome_message,"Merci d'avoir créé un compte. Nous sommes ravis de vous accueillir !",placeholder,"Merci d'avoir créé un compte. Nous sommes ravis de vous accueillir !"
am,login_credentials_title,"📧 Vos identifiants de connexion :",placeholder,"📧 Vos identifiants de connexion :"
am,access_member_area,"Vous pouvez accéder à l'espace membre de votre compte pour visualiser nos services et profiter de toutes nos fonctionnalités.",placeholder,"Vous pouvez accéder à l'espace membre de votre compte pour visualiser nos services et profiter de toutes nos fonctionnalités."
am,pleasure_to_assist,"Au plaisir de vous accompagner dans vos opérations financières !",placeholder,"Au plaisir de vous accompagner dans vos opérations financières !"
am,balance_decreased_title,"Diminution de solde - TRANSFERFLUX",placeholder,"Diminution de solde - TRANSFERFLUX"
am,balance_decreased_heading,"Diminution de Solde",placeholder,"Diminution de Solde"
am,balance_decreased_message,"Nous souhaitons vous informer que votre solde a été diminué.",placeholder,"Nous souhaitons vous informer que votre solde a été diminué."
am,operation_details,"Détails de l'opération",placeholder,"Détails de l'opération"
am,label_amount_deducted,"Montant déduit",placeholder,"Montant déduit"
am,label_new_balance,"Nouveau solde",placeholder,"Nouveau solde"
am,contact_us_if_questions,"Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter.",placeholder,"Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter."
am,balance_increased_title,"Augmentation de solde - TRANSFERFLUX",placeholder,"Augmentation de solde - TRANSFERFLUX"
am,balance_increased_heading,"Augmentation de Solde",placeholder,"Augmentation de Solde"
am,balance_increased_message,"Nous souhaitons vous informer que votre solde a été augmenté avec succès.",placeholder,"Nous souhaitons vous informer que votre solde a été augmenté avec succès."
am,label_amount_added,"Montant ajouté",placeholder,"Montant ajouté"
am,thank_you_trust,"Merci de votre confiance !",placeholder,"Merci de votre confiance !"
am,refund_title,"Remboursement - TRANSFERFLUX",placeholder,"Remboursement - TRANSFERFLUX"
am,refund_heading,"Échec de Virement / Remboursement du Solde",placeholder,"Échec de Virement / Remboursement du Solde"
am,refund_message,"Nous regrettons de vous informer que votre tentative de virement a échoué.",placeholder,"Nous regrettons de vous informer que votre tentative de virement a échoué."
am,transfer_details,"Détails du virement",placeholder,"Détails du virement"
am,label_transfer_date,"Date du Virement",placeholder,"Date du Virement"
am,label_transfer_reason,"Motif du Virement",placeholder,"Motif du Virement"
am,refund_amount_text,"Le montant de <strong>:amount</strong> a été remboursé sur votre compte.",placeholder,"Le montant de <strong>:amount</strong> a été remboursé sur votre compte."
am,refund_apology_contact,"Nous nous excusons pour la gêne occasionnée. Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter.",placeholder,"Nous nous excusons pour la gêne occasionnée. Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter."
am,mail_error_alert_title,"Alerte Échec Email",placeholder,"Alerte Échec Email"
am,system_alert,"⚠️ ALERTE SYSTÈME",placeholder,"⚠️ ALERTE SYSTÈME"
am,mail_send_failure_detected,"Échec d'envoi d'email détecté",placeholder,"Échec d'envoi d'email détecté"
am,email_sending_problem,"Problème d'envoi d'email",placeholder,"Problème d'envoi d'email"
am,email_send_failure_explanation,"Un email n'a pas pu être envoyé. Cela peut indiquer que la limite quotidienne a été atteinte ou qu'il y a un problème avec le serveur SMTP.",placeholder,"Un email n'a pas pu être envoyé. Cela peut indiquer que la limite quotidienne a été atteinte ou qu'il y a un problème avec le serveur SMTP."
am,error_details,"Détails de l'erreur",placeholder,"Détails de l'erreur"
am,label_failed_recipient,"Destinataire concerné",placeholder,"Destinataire concerné"
am,label_context,Contexte,placeholder,Contexte
am,label_error_message,"Message d'erreur",placeholder,"Message d'erreur"
am,possible_causes,"Causes possibles",placeholder,"Causes possibles"
am,cause_daily_limit,"Limite quotidienne atteinte",placeholder,"Limite quotidienne atteinte"
am,cause_daily_limit_details,"La plateforme d'envoi peut limiter le nombre d'emails par jour.",placeholder,"La plateforme d'envoi peut limiter le nombre d'emails par jour."
am,cause_smtp_connection,"Problème de connexion SMTP",placeholder,"Problème de connexion SMTP"
am,cause_smtp_connection_details,"Le serveur SMTP peut être temporairement indisponible.",placeholder,"Le serveur SMTP peut être temporairement indisponible."
am,cause_auth_failed,"Authentification échouée",placeholder,"Authentification échouée"
am,cause_auth_failed_details,"Vérifiez les identifiants dans le fichier .env",placeholder,"Vérifiez les identifiants dans le fichier .env"
am,cause_app_password_revoked,"Mot de passe d'application expiré",placeholder,"Mot de passe d'application expiré"
am,cause_app_password_revoked_details,"Le mot de passe d'application peut avoir été révoqué ou expiré.",placeholder,"Le mot de passe d'application peut avoir été révoqué ou expiré."
am,recommended_actions,"Actions recommandées",placeholder,"Actions recommandées"
am,action_if_limit,"Si limite atteinte",placeholder,"Si limite atteinte"
am,action_if_limit_details,"Attendez jusqu'à demain (réinitialisation à minuit PST).",placeholder,"Attendez jusqu'à demain (réinitialisation à minuit PST)."
am,action_check_logs,"Vérifier les logs",placeholder,"Vérifier les logs"
am,action_check_logs_details,"Consultez storage/logs/laravel.log",placeholder,"Consultez storage/logs/laravel.log"
am,action_test_connection,"Tester la connexion",placeholder,"Tester la connexion"
am,action_check_config,"Vérifier la configuration",placeholder,"Vérifier la configuration"
am,action_check_config_details,"Contrôlez les paramètres SMTP dans le fichier .env",placeholder,"Contrôlez les paramètres SMTP dans le fichier .env"
am,action_regenerate_password,"Régénérer le mot de passe",placeholder,"Régénérer le mot de passe"
am,action_regenerate_password_details,"Si nécessaire, créez un nouveau mot de passe d'application.",placeholder,"Si nécessaire, créez un nouveau mot de passe d'application."
am,system_information,"Informations système",placeholder,"Informations système"
am,label_smtp_server,"Serveur SMTP",placeholder,"Serveur SMTP"
am,label_port,Port,placeholder,Port
am,label_account,Compte,placeholder,Compte
am,label_environment,Environnement,placeholder,Environnement
am,alert_auto_generated_notice,"Cette alerte est automatique. L'application continue de fonctionner normalement, mais les emails ne sont pas envoyés.",placeholder,"Cette alerte est automatique. L'application continue de fonctionner normalement, mais les emails ne sont pas envoyés."
